load_date,ActiveConnectionCount,HTTPCode_ELB_4XX_Count,HTTPCode_ELB_5XX_Count,HTTPCode_Target_2XX_Count,HTTPCode_Target_4XX_Count,RequestCount,RequestCountPerTarget,TargetResponseTime,UnHealthyHostCount,i_0cec130025dfcd779_CPUUtilization,i_0e3640b16ef872228_CPUUtilization,cab_db_CPUUtilization,hits
27-04-2020 20.55,1,0,1,0,0,0,0,0,0,0,0,0,533
27-04-2020 21.05,1,0,1,0,0,0,0,0,0,0,0,0,108
27-04-2020 23.45,1,0,1,0,0,0,0,0,0,0,0,0,1696
27-04-2020 23.50,1,0,1,0,0,0,0,0,0,0,0,0,28
27-04-2020 23.55,1,0,1,0,0,0,0,0,0,0,0,0,54
28-04-2020 0.15,2,10,10,0,0,0,0,0,0,0,0,0,193
28-04-2020 1.55,1,0,1,0,0,0,0,0,0,0,0,0,936
28-04-2020 2.45,1,1,0,0,0,0,0,0,0,0,0,0,507
28-04-2020 3.10,1,0,1,0,0,0,0,0,0,0,0,0,228
28-04-2020 4.05,1,0,1,0,0,0,0,0,0,0,0,0,546
28-04-2020 4.10,1,0,1,0,0,0,0,0,0,0,0,0,43
28-04-2020 4.15,1,0,0,0,0,0,0,0,0,0,0,0,36
28-04-2020 4.25,1,0,1,0,0,0,0,0,0,0,0,0,108
28-04-2020 6.40,1,0,0,0,0,0,0,0,0,0,0,0,1306
28-04-2020 7.00,2,0,2,0,0,0,0,0,0,0,0,0,169
28-04-2020 7.40,1,0,1,0,0,0,0,0,0,0,0,0,399
28-04-2020 9.05,1,0,0,0,0,0,0,0,0,0,0,0,887
28-04-2020 9.10,1,1,0,0,0,0,0,0,0,0,0,0,59
28-04-2020 10.10,1,0,1,0,0,0,0,0,0,0,0,0,602
28-04-2020 11.00,2,0,9,0,0,0,0,0,0,0,0,0,511
28-04-2020 11.20,1,0,1,0,0,0,0,0,0,0,0,0,170
28-04-2020 12.05,1,0,1,0,0,0,0,0,0,0,0,0,528
28-04-2020 12.15,9,1,9,0,0,0,0,0,0,0,0,0,117
28-04-2020 12.45,1,0,1,0,0,0,0,0,0,0,0,0,303
28-04-2020 13.20,2,10,10,0,0,0,0,0,0,0,0,0,17
28-04-2020 13.35,1,0,1,0,0,0,0,0,0,0,0,0,3
28-04-2020 14.15,1,0,0,0,0,0,0,0,0,0,0,0,17
28-04-2020 14.40,1,0,1,0,0,0,0,0,0,0,0,0,10
28-04-2020 15.55,1,0,1,0,0,0,0,0,0,0,0,0,38
28-04-2020 16.05,2,0,1,0,0,0,0,0,0,0,0,0,1
28-04-2020 16.30,1,0,1,0,0,0,0,0,0,0,0,0,8
28-04-2020 17.35,8,0,9,0,0,0,0,0,0,0,0,0,43
28-04-2020 17.50,1,1,0,0,0,0,0,0,0,0,0,0,3
18-05-2020 13.05,0,0,0,0,0,0,0,0,0,0,0,1.535343151,155
18-05-2020 13.15,0,0,0,0,0,0,0,0,0,0,0,1.595998889,14
18-05-2020 13.20,0,0,0,0,0,0,0,0,0,0,0,1.530867492,9
18-05-2020 13.25,0,0,0,0,0,0,0,0,0,0,0,1.573613041,36
18-05-2020 13.30,0,0,0,0,0,0,0,0,0,0,0,1.595628415,14
18-05-2020 13.35,0,0,0,0,0,0,0,0,0,0,0,1.538418079,6
18-05-2020 13.40,0,0,0,0,0,0,0,0,0,0,0,1.528017042,12
18-05-2020 13.45,0,0,0,0,0,0,0,0,0,0,0,1.539696212,6
18-05-2020 13.50,0,0,0,0,0,0,0,0,0,0,0,1.526924146,6
18-05-2020 13.55,0,0,0,0,0,0,0,0,0,0,0,1.578873122,8
18-05-2020 14.05,0,0,0,0,0,0,0,0,0,0,0,1.534934992,4
18-05-2020 14.10,0,0,0,0,0,0,0,0,0,0,0,1.534046494,2
18-05-2020 14.15,0,0,0,0,0,0,0,0,0,0,0,1.538603316,8
18-05-2020 14.20,0,0,0,0,0,0,0,0,0,0,0,1.534083542,24
18-05-2020 14.25,0,0,0,0,0,0,0,0,0,0,0,1.592580871,7
18-05-2020 14.30,0,0,0,0,0,0,0,0,0,0,0,1.534796703,2
18-05-2020 14.35,0,0,0,0,0,0,0,0,0,0,0,1.534796703,12
18-05-2020 14.40,0,0,0,0,0,0,0,0,0,0,0,1.567546541,8
18-05-2020 14.45,0,0,0,0,0,0,0,0,0,0,0,1.561350375,2
18-05-2020 14.50,0,0,0,0,0,0,0,0,0,0,0,1.473029545,6
18-05-2020 14.55,0,0,0,0,0,0,0,0,0,0,0,1.559711031,6
18-05-2020 15.00,0,0,0,0,0,0,0,0,0,0,0,1.574178012,6
18-05-2020 15.05,0,0,0,0,0,0,0,0,0,0,0,1.49413726,4
18-05-2020 15.15,0,0,0,0,0,0,0,0,0,0,0,1.533500046,20
18-05-2020 15.25,0,0,0,0,0,0,0,0,0,0,0,1.560433753,32
18-05-2020 15.30,0,0,0,0,0,0,0,0,0,0,0,1.494155784,15
18-05-2020 15.35,0,0,0,0,0,0,0,0,0,0,0,1.559711031,22
18-05-2020 15.40,0,0,0,0,0,0,0,0,0,0,0,1.503184473,26
18-05-2020 15.45,0,0,0,0,0,0,0,0,0,0,0,1.504686487,10
18-05-2020 15.50,0,0,0,0,0,0,0,0,0,0,0,1.534046494,2
18-05-2020 15.55,0,0,0,0,0,0,0,0,0,0,0,1.567944799,6
18-05-2020 16.00,0,0,0,0,0,0,0,0,0,0,0,1.572881356,4
18-05-2020 16.05,0,0,0,0,0,0,0,0,0,0,0,1.566435121,8
18-05-2020 16.10,0,0,0,0,0,0,0,0,0,0,0,1.561350375,6
18-05-2020 16.15,0,0,0,0,0,0,0,0,0,0,0,1.75,6
